segment,uri,start,end,speaker,verification,identification,id
id10004\6WxS8rpNjmk\00001.wav,Aaron_Tveit/6WxS8rpNjmk,424.5,433.6,Aaron_Tveit,dev,trn,id10004
id10004\6WxS8rpNjmk\00003.wav,Aaron_Tveit/6WxS8rpNjmk,451.1,458.4,Aaron_Tveit,dev,trn,id10004
id10004\8mWxQ6DRO-U\00002.wav,Aaron_Tveit/8mWxQ6DRO-U,210.2,217.8,Aaron_Tveit,dev,trn,id10004
id10004\8mWxQ6DRO-U\00004.wav,Aaron_Tveit/8mWxQ6DRO-U,297.3,306.1,Aaron_Tveit,dev,trn,id10004
id10004\BOAd7pybyZw\00002.wav,Aaron_Tveit/BOAd7pybyZw,153.2,159.8,Aaron_Tveit,dev,dev,id10004
id10004\CWTpJe2RqOA\00001.wav,Aaron_Tveit/CWTpJe2RqOA,91.3,100.4,Aaron_Tveit,dev,trn,id10004
id10004\CWTpJe2RqOA\00002.wav,Aaron_Tveit/CWTpJe2RqOA,171.9,178.4,Aaron_Tveit,dev,trn,id10004
id10004\IEV-I9f21ns\00001.wav,Aaron_Tveit/IEV-I9f21ns,92.0,101.0,Aaron_Tveit,dev,trn,id10004
id10004\JKMfqmjUwMU\00005.wav,Aaron_Tveit/JKMfqmjUwMU,187.9,195.3,Aaron_Tveit,dev,trn,id10004
id10004\JKMfqmjUwMU\00011.wav,Aaron_Tveit/JKMfqmjUwMU,360.7,368.2,Aaron_Tveit,dev,trn,id10004
id10004\JKMfqmjUwMU\00012.wav,Aaron_Tveit/JKMfqmjUwMU,369.1,378.5,Aaron_Tveit,dev,trn,id10004
id10004\JKMfqmjUwMU\00013.wav,Aaron_Tveit/JKMfqmjUwMU,380.0,386.0,Aaron_Tveit,dev,trn,id10004
id10004\bIZQaEVuATQ\00003.wav,Aaron_Tveit/bIZQaEVuATQ,66.0,73.8,Aaron_Tveit,dev,trn,id10004
id10004\bIZQaEVuATQ\00004.wav,Aaron_Tveit/bIZQaEVuATQ,87.5,94.7,Aaron_Tveit,dev,trn,id10004
id10004\bIZQaEVuATQ\00005.wav,Aaron_Tveit/bIZQaEVuATQ,132.5,140.6,Aaron_Tveit,dev,trn,id10004
id10004\bIZQaEVuATQ\00006.wav,Aaron_Tveit/bIZQaEVuATQ,153.8,159.8,Aaron_Tveit,dev,trn,id10004
id10004\bIZQaEVuATQ\00008.wav,Aaron_Tveit/bIZQaEVuATQ,194.3,200.8,Aaron_Tveit,dev,trn,id10004
id10004\bIZQaEVuATQ\00010.wav,Aaron_Tveit/bIZQaEVuATQ,272.0,278.4,Aaron_Tveit,dev,trn,id10004
