segment,uri,start,end,speaker,verification,identification
id10004\6WxS8rpNjmk\00001.wav,Aaron_Tveit/6WxS8rpNjmk,424.5,433.6,Aaron_Tveit,dev,trn
id10004\6WxS8rpNjmk\00003.wav,Aaron_Tveit/6WxS8rpNjmk,451.1,458.4,Aaron_Tveit,dev,trn
id10004\8mWxQ6DRO-U\00001.wav,Aaron_Tveit/8mWxQ6DRO-U,181.2,193.9,Aaron_Tveit,dev,trn
id10004\8mWxQ6DRO-U\00002.wav,Aaron_Tveit/8mWxQ6DRO-U,210.2,217.8,Aaron_Tveit,dev,trn
id10004\8mWxQ6DRO-U\00004.wav,Aaron_Tveit/8mWxQ6DRO-U,297.3,306.1,Aaron_Tveit,dev,trn
id10004\BOAd7pybyZw\00001.wav,Aaron_Tveit/BOAd7pybyZw,32.4,42.9,Aaron_Tveit,dev,dev
id10004\BOAd7pybyZw\00002.wav,Aaron_Tveit/BOAd7pybyZw,153.2,159.8,Aaron_Tveit,dev,dev
id10004\BOAd7pybyZw\00003.wav,Aaron_Tveit/BOAd7pybyZw,177.5,192.1,Aaron_Tveit,dev,dev
id10004\CCygVo0iPvw\00002.wav,Aaron_Tveit/CCygVo0iPvw,90.1,104.4,Aaron_Tveit,dev,trn
id10004\CWTpJe2RqOA\00001.wav,Aaron_Tveit/CWTpJe2RqOA,91.3,100.4,Aaron_Tveit,dev,trn
id10004\CWTpJe2RqOA\00002.wav,Aaron_Tveit/CWTpJe2RqOA,171.9,178.4,Aaron_Tveit,dev,trn
id10004\CWTpJe2RqOA\00003.wav,Aaron_Tveit/CWTpJe2RqOA,251.8,265.2,Aaron_Tveit,dev,trn
id10004\CWTpJe2RqOA\00004.wav,Aaron_Tveit/CWTpJe2RqOA,279.0,298.7,Aaron_Tveit,dev,trn
id10004\IEV-I9f21ns\00001.wav,Aaron_Tveit/IEV-I9f21ns,92.0,101.0,Aaron_Tveit,dev,trn
id10004\IEV-I9f21ns\00002.wav,Aaron_Tveit/IEV-I9f21ns,165.6,178.5,Aaron_Tveit,dev,trn
id10004\IEV-I9f21ns\00003.wav,Aaron_Tveit/IEV-I9f21ns,179.6,196.5,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00004.wav,Aaron_Tveit/JKMfqmjUwMU,163.6,179.6,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00005.wav,Aaron_Tveit/JKMfqmjUwMU,187.9,195.3,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00006.wav,Aaron_Tveit/JKMfqmjUwMU,202.2,235.1,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00009.wav,Aaron_Tveit/JKMfqmjUwMU,313.1,337.6,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00011.wav,Aaron_Tveit/JKMfqmjUwMU,360.7,368.2,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00012.wav,Aaron_Tveit/JKMfqmjUwMU,369.1,378.5,Aaron_Tveit,dev,trn
id10004\JKMfqmjUwMU\00013.wav,Aaron_Tveit/JKMfqmjUwMU,380.0,386.0,Aaron_Tveit,dev,trn
id10004\SMKC-WLY6F0\00001.wav,Aaron_Tveit/SMKC-WLY6F0,0.8,34.8,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00002.wav,Aaron_Tveit/bIZQaEVuATQ,48.9,59.0,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00003.wav,Aaron_Tveit/bIZQaEVuATQ,66.0,73.8,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00004.wav,Aaron_Tveit/bIZQaEVuATQ,87.5,94.7,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00005.wav,Aaron_Tveit/bIZQaEVuATQ,132.5,140.6,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00006.wav,Aaron_Tveit/bIZQaEVuATQ,153.8,159.8,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00008.wav,Aaron_Tveit/bIZQaEVuATQ,194.3,200.8,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00010.wav,Aaron_Tveit/bIZQaEVuATQ,272.0,278.4,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00014.wav,Aaron_Tveit/bIZQaEVuATQ,325.4,335.4,Aaron_Tveit,dev,trn
id10004\bIZQaEVuATQ\00015.wav,Aaron_Tveit/bIZQaEVuATQ,351.8,363.4,Aaron_Tveit,dev,trn
id10004\eaYIxBz6lBU\00001.wav,Aaron_Tveit/eaYIxBz6lBU,283.2,299.6,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00004.wav,Aaron_Tveit/lu_eVSfv3Tg,71.0,82.3,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00006.wav,Aaron_Tveit/lu_eVSfv3Tg,126.1,132.5,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00008.wav,Aaron_Tveit/lu_eVSfv3Tg,225.4,235.3,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00009.wav,Aaron_Tveit/lu_eVSfv3Tg,250.7,261.8,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00010.wav,Aaron_Tveit/lu_eVSfv3Tg,285.1,300.8,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00011.wav,Aaron_Tveit/lu_eVSfv3Tg,311.3,323.4,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00012.wav,Aaron_Tveit/lu_eVSfv3Tg,327.2,337.4,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00013.wav,Aaron_Tveit/lu_eVSfv3Tg,346.0,355.1,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00014.wav,Aaron_Tveit/lu_eVSfv3Tg,356.9,368.5,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00016.wav,Aaron_Tveit/lu_eVSfv3Tg,390.0,400.0,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00017.wav,Aaron_Tveit/lu_eVSfv3Tg,400.4,407.8,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00018.wav,Aaron_Tveit/lu_eVSfv3Tg,494.1,502.7,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00019.wav,Aaron_Tveit/lu_eVSfv3Tg,541.6,555.0,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00020.wav,Aaron_Tveit/lu_eVSfv3Tg,559.2,570.5,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00021.wav,Aaron_Tveit/lu_eVSfv3Tg,590.3,600.0,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00022.wav,Aaron_Tveit/lu_eVSfv3Tg,611.0,621.1,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00024.wav,Aaron_Tveit/lu_eVSfv3Tg,635.0,642.5,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00026.wav,Aaron_Tveit/lu_eVSfv3Tg,701.6,708.1,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00027.wav,Aaron_Tveit/lu_eVSfv3Tg,714.4,723.2,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00028.wav,Aaron_Tveit/lu_eVSfv3Tg,730.1,737.9,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00030.wav,Aaron_Tveit/lu_eVSfv3Tg,787.2,795.8,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00032.wav,Aaron_Tveit/lu_eVSfv3Tg,838.6,852.5,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00033.wav,Aaron_Tveit/lu_eVSfv3Tg,871.4,885.9,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00034.wav,Aaron_Tveit/lu_eVSfv3Tg,890.3,897.6,Aaron_Tveit,dev,trn
id10004\lu_eVSfv3Tg\00037.wav,Aaron_Tveit/lu_eVSfv3Tg,992.3,999.2,Aaron_Tveit,dev,trn
id10004\q6QJY1ndpOY\00002.wav,Aaron_Tveit/q6QJY1ndpOY,65.3,73.4,Aaron_Tveit,dev,trn
id10004\qqhJQYlENHs\00001.wav,Aaron_Tveit/qqhJQYlENHs,159.5,168.7,Aaron_Tveit,dev,trn
id10004\wQJ3cED8ZSw\00001.wav,Aaron_Tveit/wQJ3cED8ZSw,62.1,68.6,Aaron_Tveit,dev,trn
id10004\wQJ3cED8ZSw\00002.wav,Aaron_Tveit/wQJ3cED8ZSw,113.0,120.7,Aaron_Tveit,dev,trn
id10004\wQJ3cED8ZSw\00003.wav,Aaron_Tveit/wQJ3cED8ZSw,137.7,148.5,Aaron_Tveit,dev,trn
id10004\zcB1pnBt_Tc\00001.wav,Aaron_Tveit/zcB1pnBt_Tc,11.4,19.1,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00002.wav,Aaron_Tveit/zcB1pnBt_Tc,22.5,29.0,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00003.wav,Aaron_Tveit/zcB1pnBt_Tc,38.3,72.2,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00004.wav,Aaron_Tveit/zcB1pnBt_Tc,81.0,98.8,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00005.wav,Aaron_Tveit/zcB1pnBt_Tc,104.6,113.3,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00006.wav,Aaron_Tveit/zcB1pnBt_Tc,122.9,129.7,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00007.wav,Aaron_Tveit/zcB1pnBt_Tc,133.7,142.4,Aaron_Tveit,dev,tst
id10004\zcB1pnBt_Tc\00008.wav,Aaron_Tveit/zcB1pnBt_Tc,148.2,158.5,Aaron_Tveit,dev,tst
id10009\7hpSiT9_gCE\00001.wav,Adam_Beach/7hpSiT9_gCE,94.8,101.0,Adam_Beach,dev,trn
id10009\AtavJVP4bCk\00002.wav,Adam_Beach/AtavJVP4bCk,295.1,301.6,Adam_Beach,dev,trn
id10009\AtavJVP4bCk\00004.wav,Adam_Beach/AtavJVP4bCk,502.7,512.0,Adam_Beach,dev,trn
id10009\AtavJVP4bCk\00007.wav,Adam_Beach/AtavJVP4bCk,572.1,578.6,Adam_Beach,dev,trn
id10009\AtavJVP4bCk\00008.wav,Adam_Beach/AtavJVP4bCk,591.2,597.9,Adam_Beach,dev,trn
id10009\EJ3tyqGqYfw\00001.wav,Adam_Beach/EJ3tyqGqYfw,126.0,132.2,Adam_Beach,dev,trn
id10009\FOFbkVlz-wQ\00001.wav,Adam_Beach/FOFbkVlz-wQ,9.7,19.8,Adam_Beach,dev,trn
id10009\FOFbkVlz-wQ\00002.wav,Adam_Beach/FOFbkVlz-wQ,37.2,47.8,Adam_Beach,dev,trn
id10009\JntZkGsH2Cc\00001.wav,Adam_Beach/JntZkGsH2Cc,7.0,33.3,Adam_Beach,dev,trn
id10009\JntZkGsH2Cc\00002.wav,Adam_Beach/JntZkGsH2Cc,53.1,68.1,Adam_Beach,dev,trn
id10009\JntZkGsH2Cc\00003.wav,Adam_Beach/JntZkGsH2Cc,70.2,81.8,Adam_Beach,dev,trn
id10009\JntZkGsH2Cc\00004.wav,Adam_Beach/JntZkGsH2Cc,114.0,121.2,Adam_Beach,dev,trn
id10009\JrwqvWr5_VE\00001.wav,Adam_Beach/JrwqvWr5_VE,9.2,16.3,Adam_Beach,dev,trn
id10009\JrwqvWr5_VE\00005.wav,Adam_Beach/JrwqvWr5_VE,115.4,121.9,Adam_Beach,dev,trn
