segment,uri,start,end,speaker,verification,identification
id10001\1zcIwhmdeo4\00001.wav,A.J._Buckley/1zcIwhmdeo4,14.7,22.8,A.J._Buckley,dev,trn
id10002\6WO410QOeuo\00001.wav,A.R._Rahman/6WO410QOeuo,147.7,155.3,A.R._Rahman,dev,trn
id10003\5ablueV_1tw\00003.wav,Aamir_Khan/5ablueV_1tw,199.7,206.4,Aamir_Khan,dev,trn
id10004\6WxS8rpNjmk\00001.wav,Aaron_Tveit/6WxS8rpNjmk,424.5,433.6,Aaron_Tveit,dev,trn
id10005\1geDB-I2TjE\00001.wav,Aaron_Yoo/1geDB-I2TjE,2.8,16.1,Aaron_Yoo,dev,trn
id10006\0otHlFztX8I\00001.wav,Abbie_Cornish/0otHlFztX8I,0.9,7.3,Abbie_Cornish,dev,trn
id10007\10Oe0XETA0s\00001.wav,Abigail_Breslin/10Oe0XETA0s,19.2,30.8,Abigail_Breslin,dev,trn
id10008\58jhTekFbHk\00001.wav,Abigail_Spencer/58jhTekFbHk,28.6,40.5,Abigail_Spencer,dev,trn
id10009\7hpSiT9_gCE\00001.wav,Adam_Beach/7hpSiT9_gCE,94.8,101.0,Adam_Beach,dev,trn
id10010\1O_m0G4rf9Q\00001.wav,Adam_Brody/1O_m0G4rf9Q,156.4,163.7,Adam_Brody,dev,trn
id10011\01En9rUo_Co\00001.wav,Adam_Copeland/01En9rUo_Co,17.2,26.8,Adam_Copeland,dev,trn
id10012\0AXjxNXiEzo\00002.wav,Adam_Driver/0AXjxNXiEzo,47.4,54.0,Adam_Driver,dev,trn
id10013\D8N1aTvis1o\00001.wav,Adrianne_Curry/D8N1aTvis1o,161.0,168.4,Adrianne_Curry,dev,trn
id10014\32rU5csGG3U\00002.wav,Adrianne_Palicki/32rU5csGG3U,25.4,58.6,Adrianne_Palicki,dev,trn
id10015\1uUxa00zKXE\00002.wav,Agyness_Deyn/1uUxa00zKXE,192.5,199.1,Agyness_Deyn,dev,trn
id10016\5xGJYiNH2Jw\00002.wav,Aidan_Turner/5xGJYiNH2Jw,30.0,36.1,Aidan_Turner,dev,trn
id10017\5r-26vNFeJU\00002.wav,Ajay_Devgn/5r-26vNFeJU,234.2,241.2,Ajay_Devgn,dev,trn
id10018\0gR9vlGI8ro\00004.wav,Akshay_Kumar/0gR9vlGI8ro,198.4,205.7,Akshay_Kumar,dev,trn
id10019\2vSPFNQoKmk\00001.wav,Alain_Delon/2vSPFNQoKmk,46.6,54.9,Alain_Delon,dev,trn
id10020\1elTcNGC3q8\00001.wav,Alan_Alda/1elTcNGC3q8,10.4,17.0,Alan_Alda,dev,trn
id10021\0BHnLGHwul4\00001.wav,Alan_Cumming/0BHnLGHwul4,127.6,138.4,Alan_Cumming,dev,trn
id10022\GNs98HaOCVA\00001.wav,Alan_Rickman/GNs98HaOCVA,28.3,35.2,Alan_Rickman,dev,tst
id10023\4I4PGPZzUGo\00001.wav,Alan_Tudyk/4I4PGPZzUGo,45.0,67.9,Alan_Tudyk,dev,tst
id10024\1nd1f_kq4f8\00001.wav,Alba_Rohrwacher/1nd1f_kq4f8,149.0,156.3,Alba_Rohrwacher,dev,trn
id10025\4R2kKnqZqzg\00001.wav,Aldis_Hodge/4R2kKnqZqzg,72.6,79.5,Aldis_Hodge,dev,trn
id10026\0rBA5VVzI1I\00001.wav,Alex_Borstein/0rBA5VVzI1I,60.6,66.8,Alex_Borstein,dev,trn
id10027\50IAfJCypFI\00002.wav,Alex_Kingston/50IAfJCypFI,118.9,126.5,Alex_Kingston,dev,trn
id10028\35jrHmve_4U\00001.wav,Alex_Pettyfer/35jrHmve_4U,33.2,42.6,Alex_Pettyfer,dev,trn
id10029\152c1sTeQ48\00001.wav,Alex_Trebek/152c1sTeQ48,52.7,59.9,Alex_Trebek,dev,trn
id10030\1YDEn65O4io\00002.wav,Alexa_Davalos/1YDEn65O4io,7.6,14.6,Alexa_Davalos,dev,trn
